timestamp,ip,port,session_id,event_type,packets,duration_sec
2026-04-16T15:46:15.172649,223.31.218.223,63247,d8d96d1c,CONNECT,0,0.0
2026-04-16T15:46:30.330489,223.31.218.223,63247,d8d96d1c,DISCONNECT,10,15.159
2026-04-16T15:53:02.841593,223.31.218.223,63470,b1425d75,CONNECT,0,0.0
2026-04-16T15:53:17.792566,223.31.218.223,63470,b1425d75,DISCONNECT,10,14.952
2026-04-16T16:08:33.899176,223.31.218.223,63944,95c9d77c,CONNECT,0,0.0
2026-04-16T16:08:38.095262,223.31.218.223,63944,95c9d77c,DISCONNECT,2,4.197
2026-04-16T16:14:20.533178,223.31.218.223,64328,76c752f3,CONNECT,0,0.0
2026-04-16T16:14:26.677084,223.31.218.223,64328,76c752f3,DISCONNECT,4,6.145
2026-04-20T07:53:32.605937,106.216.229.105,49600,09c7f9b2,CONNECT,0,0.0
2026-04-20T07:53:32.617747,106.216.229.105,49600,09c7f9b2,DISCONNECT,0,0.014
2026-04-20T08:18:25.354323,185.37.147.117,28696,70ab15da,CONNECT,0,0.0
2026-04-20T08:18:25.358416,185.37.147.117,28696,70ab15da,DISCONNECT,0,0.005
2026-04-20T08:18:25.373292,185.19.33.131,22934,644f7f2f,CONNECT,0,0.0
2026-04-20T08:18:25.376301,185.19.33.131,22934,644f7f2f,DISCONNECT,0,0.004
2026-04-20T08:18:25.398257,81.6.41.187,12410,cf9098f5,CONNECT,0,0.0
2026-04-20T08:18:25.399495,195.154.114.92,64696,16250224,CONNECT,0,0.0
2026-04-20T08:18:25.401069,45.159.248.77,45466,4cb41d4b,CONNECT,0,0.0
2026-04-20T08:18:25.403208,81.6.41.187,12410,cf9098f5,DISCONNECT,0,0.005
2026-04-20T08:18:25.407009,195.154.114.92,64696,16250224,DISCONNECT,0,0.009
2026-04-20T08:18:25.411332,45.159.248.77,45466,4cb41d4b,DISCONNECT,0,0.011
2026-04-20T08:18:25.425798,77.75.230.51,30288,349b2ac1,CONNECT,0,0.0
2026-04-20T08:18:25.428956,116.203.22.31,4760,1af0b89f,CONNECT,0,0.0
2026-04-20T08:18:25.429749,77.75.230.51,30288,349b2ac1,DISCONNECT,0,0.004
2026-04-20T08:18:25.435807,116.203.22.31,4760,1af0b89f,DISCONNECT,0,0.007
